plant name,growth,soil,sunlight,watering,fertilization type
malva (mallow),moderate,well-drained,full sunlight,"regular, well-drained soil",organic
mango,slow,well-drained,full sunlight,"regular, well-drained soil",organic
maranta (prayer plant),moderate,moist,indirect sunlight,"regular, moist soil",balanced
mimosa,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
morning glory,fast,well-drained,full sunlight,"regular, well-drained soil",organic
moringa,fast,well-drained,full sunlight,"regular, well-drained soil",organic
nasturtium,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
neoregalia (bromeliad),moderate,moist,indirect sunlight,"regular, moist soil",balanced
nettle,fast,well-drained,full sunlight,"regular, well-drained soil",organic
olive tree,slow,well-drained,full sunlight,"regular, well-drained soil",balanced
oregano,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
passionflower,fast,well-drained,full sunlight,"regular, well-drained soil",organic
peony,slow,well-drained,full sunlight,"regular, well-drained soil",balanced
pepper plant,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
periwinkle,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
phlox,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
pomegranate,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
potato vine,fast,well-drained,full sunlight,"regular, well-drained soil",balanced
pothos (golden pathos),moderate,well-drained,indirect sunlight,"regular, moist soil",balanced
protea,slow,well-drained,full sunlight,"regular, well-drained soil",organic
purslane,fast,well-drained,full sunlight,"regular, well-drained soil",balanced
quince,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
red hot poker (kniphofia),moderate,well-drained,full sunlight,"regular, well-drained soil",organic
red-leafed maple,slow,well-drained,partial sunlight,"regular, well-drained soil",balanced
rhododendron,slow,acidic,partial sunlight,"regular, well-drained soil",organic
rudbeckia,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
sage,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
salvia,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
snowdrop,slow,well-drained,full sunlight,"regular, moist soil",balanced
spider flower,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
star jasmine,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
strawberry plant,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
sweet basil,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
sweet potato vine,fast,well-drained,full sunlight,"regular, well-drained soil",organic
taro,moderate,moist,full sunlight,"regular, moist soil",organic
thyme,slow,well-drained,full sunlight,"regular, well-drained soil",balanced
tiger lily,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
tuberose,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced
verbena,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
violet,moderate,moist,indirect sunlight,"regular, moist soil",organic
wisteria,fast,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen
yucca,slow,loamy,full sunlight,"regular, moist soil",balanced
zebra plant,moderate,moist,partial sunlight,"regular, moist soil",organic
zephyranthes (rain lily),fast,acidic,full sunlight,"regular, moist soil",balanced
bamboo orchid,moderate,loamy,indirect sunlight,"regular, well-drained soil",organic
buckwheat,fast,sandy,full sunlight,"regular, moist soil",low-nitrogen
cabbage palm,moderate,sandy,full sunlight,water when topsoil is dry,organic
camelina,fast,loamy,full sunlight,"regular, moist soil",no
dandelion,fast,well-drained,full sunlight,"regular, moist soil",organic
elderflower,moderate,well-drained,full sunlight,"regular, moist soil",no
epazote,fast,moist,full sunlight,"regular, well-drained soil",organic
fern (maidenhair),slow,moist,indirect sunlight,"regular, well-drained soil",organic
galangal,moderate,well-drained,partial sunlight,"regular, moist soil",balanced
globe thistle,slow,moist,full sunlight,"regular, moist soil",organic
hummingbird sage,moderate,well-drained,full sunlight,"regular, well-drained soil",organic
indian cress,moderate,moist,full sunlight,"regular, moist soil",low-nitrogen
japanese maple,slow,well-drained,partial sunlight,"regular, moist soil",organic
lacandonian,moderate,loamy,partial sunlight,"regular, moist soil",no
lamb's ear,moderate,moist,full sunlight,"regular, moist soil",balanced
lemon grass,fast,well-drained,full sunlight,"regular, moist soil",organic
lilac bush,moderate,well-drained,full sunlight,"regular, moist soil",balanced
mandevilla,fast,loamy,full sunlight,"regular, well-drained soil",balanced
marigold (african),fast,loamy,full sunlight,"regular, moist soil",organic
mayapple,slow,well-drained,partial sunlight,"regular, moist soil",low-nitrogen
nandina (heavenly bamboo),moderate,well-drained,partial sunlight,"regular, well-drained soil",organic
nutmeg,moderate,loamy,full sunlight,"regular, moist soil",organic
orchid (vanilla),slow,well-drained,indirect sunlight,"regular, well-drained soil",no
peepal tree,slow,well-drained,full sunlight,"regular, moist soil",organic
plumeria,moderate,loamy,full sunlight,"regular, well-drained soil",low-nitrogen
quaking aspen,moderate,well-drained,full sunlight,"regular, moist soil",organic
quinoa,fast,loamy,full sunlight,"regular, well-drained soil",no
red maple,slow,well-drained,full sunlight,"regular, moist soil",balanced
redwood,slow,moist,full sunlight,"regular, moist soil",low-nitrogen
river birch,moderate,well-drained,full sunlight,"regular, moist soil",balanced
rose of sharon,moderate,moist,full sunlight,"regular, moist soil",balanced
rosemary mint,moderate,well-drained,partial sunlight,"regular, well-drained soil",no
sago palm,slow,well-drained,full sunlight,"regular, well-drained soil",organic
scabiosa (pincushion flower),moderate,loamy,full sunlight,"regular, moist soil",organic
scilla,moderate,moist,full sunlight,"regular, moist soil",low-nitrogen
sedge,slow,well-drained,partial sunlight,"regular, well-drained soil",organic
silene (catchfly),moderate,loamy,full sunlight,"regular, well-drained soil",no
silverbell tree,moderate,moist,full sunlight,"regular, well-drained soil",organic
soursop,fast,well-drained,full sunlight,"regular, moist soil",no
stevia,fast,well-drained,full sunlight,"regular, moist soil",organic
sugarcane,fast,well-drained,full sunlight,"regular, well-drained soil",organic
tansy,slow,loamy,full sunlight,"regular, moist soil",no
teak,slow,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen
themeda (kangaroo grass),fast,sandy,full sunlight,"regular, moist soil",organic
tobacco plant,fast,loamy,full sunlight,"regular, well-drained soil",balanced
tuberose (polianthes),moderate,well-drained,full sunlight,"regular, moist soil",organic
water lily,slow,loamy,full sunlight,"regular, moist soil",no
wattle,moderate,sandy,full sunlight,water when soil feels dry,no
yew,slow,loamy,partial sunlight,water when topsoil is dry,balanced
zea mays (corn),fast,loamy,full sunlight,keep soil consistently moist,low-nitrogen
zebra grass,moderate,well-drained,partial sunlight,keep soil consistently moist,low-nitrogen
zoysia grass,slow,sandy,full sunlight,water weekly,organic
achillea (yarrow),moderate,well-drained,full sunlight,let soil dry between watering,balanced
ageratum,fast,loamy,partial sunlight,keep soil slightly moist,balanced
angelonia,moderate,well-drained,full sunlight,keep soil consistently moist,organic
armeria (thrift),slow,sandy,full sunlight,water when soil is dry,low-nitrogen
bearded iris,slow,sandy,partial sunlight,keep soil evenly moist,balanced
bergamot,moderate,loamy,partial sunlight,water when soil is dry,balanced
bigleaf hydrangea,moderate,acidic,full sunlight,keep soil consistently moist,organic
black currant,moderate,loamy,partial sunlight,water when soil feels dry,organic
black-eyed susan,fast,loamy,full sunlight,water when topsoil is dry,low-nitrogen
blazing star,moderate,loamy,full sunlight,water when soil is dry,organic
bloodroot,slow,moist,partial sunlight,keep soil slightly moist,organic
bluebell,slow,moist,partial sunlight,water when soil feels dry,organic
borage,fast,loamy,full sunlight,keep soil consistently moist,no
calendula,fast,loamy,full sunlight,water weekly,organic
california poppy,fast,sandy,full sunlight,water when soil is dry,organic
carob tree,slow,well-drained,full sunlight,water when soil is dry,balanced
catmint,moderate,well-drained,full sunlight,keep soil consistently moist,balanced
chives,fast,loamy,full sunlight,keep soil evenly moist,low-nitrogen
chinese lantern plant,moderate,loamy,partial sunlight,water when soil feels dry,balanced
clematis,moderate,well-drained,partial sunlight,keep soil consistently moist,organic
clover,fast,loamy,full sunlight,water when topsoil is dry,no
coltsfoot,slow,moist,partial sunlight,water when soil is dry,low-nitrogen
daffodils,slow,loamy,full sunlight,keep soil consistently moist,organic
daisy fleabane,moderate,loamy,partial sunlight,water weekly,low-nitrogen
dogwood tree,slow,loamy,partial sunlight,keep soil consistently moist,low-nitrogen
dragonfruit cactus,moderate,well-drained,full sunlight,let soil dry between watering,no
engelmann spruce,slow,well-drained,full sunlight,water when soil feels dry,balanced
fairy lantern,moderate,loamy,partial sunlight,keep soil slightly moist,balanced
fritillaria,slow,well-drained,partial sunlight,water when soil is dry,no
galax,moderate,moist,partial sunlight,keep soil evenly moist,no
ginkgo,slow,loamy,full sunlight,water when topsoil is dry,balanced
grape hyacinth,fast,loamy,full sunlight,keep soil consistently moist,organic
guar,fast,sandy,full sunlight,water when soil is dry,no
gumwood tree,moderate,loamy,partial sunlight,water when soil is dry,organic
goldenrods,moderate,loamy,full sunlight,keep soil moist,organic
goldenseal,slow,moist,partial sunlight,keep soil moist,balanced
heliopsis,moderate,loamy,full sunlight,keep soil moist,no
henbane,moderate,loamy,full sunlight,water when soil feels dry,organic
heracleum (cow parsnip),fast,loamy,partial sunlight,keep soil moist,balanced
hops vine,fast,well-drained,full sunlight,keep soil moist,low-nitrogen
indian grass,moderate,loamy,full sunlight,water when soil is dry,low-nitrogen
islander (agave),slow,well-drained,full sunlight,let soil dry between watering,no
ironwood,slow,loamy,full sunlight,water when soil is dry,organic
jerusalem artichoke,fast,loamy,full sunlight,water when soil is dry,balanced
larkspur,moderate,loamy,partial sunlight,keep soil moist,balanced
laelia orchid,slow,well-drained,indirect sunlight,keep soil consistently moist,no
lamb's ear,moderate,sandy,partial sunlight,keep soil slightly moist,no
lavender (english),moderate,well-drained,full sunlight,let soil dry between watering,balanced
ligustrum,fast,loamy,partial sunlight,water when topsoil is dry,low-nitrogen
lilac tree,slow,loamy,partial sunlight,water weekly,balanced
